OrderItemID,OrderID,ProductID,Quantity,UnitPrice,LineDiscount,LineTotal
1,1,3,1,13.11,1.97,11.14
2,1,1,2,12.26,3.68,20.84
3,1,6,1,22.32,3.35,18.97
4,1,17,2,12.53,3.76,21.3
5,2,13,1,15.0,3.0,12.0
6,2,19,2,10.02,4.01,16.03
7,2,11,2,12.04,4.82,19.26
8,3,6,1,20.77,0.0,20.77
9,4,20,1,3.65,0.55,3.1
10,4,3,1,14.08,2.11,11.97
11,5,3,1,13.15,2.63,10.52
12,5,7,1,19.15,3.83,15.32
13,6,8,1,18.27,1.83,16.44
14,6,15,1,18.91,1.89,17.02
15,7,8,1,16.4,0.0,16.4
16,8,8,2,16.8,5.04,28.56
17,8,11,3,13.11,5.9,33.43
18,8,14,3,7.56,3.4,19.28
19,8,18,3,13.75,6.19,35.06
20,9,15,2,18.65,3.73,33.57
21,9,8,1,16.86,1.69,15.17
22,10,16,1,11.34,0.0,11.34
23,11,2,1,9.96,1.99,7.97
24,12,5,1,12.34,0.62,11.72
25,13,5,1,13.2,0.0,13.2
26,14,3,2,12.6,2.52,22.68
27,15,19,1,9.82,0.49,9.33
28,16,4,1,25.32,0.0,25.32
29,16,9,3,26.83,0.0,80.49
30,17,17,1,13.12,1.31,11.81
31,18,9,3,27.75,0.0,83.25
32,18,17,3,11.93,0.0,35.79
33,19,16,1,11.99,0.0,11.99
34,20,18,2,12.86,5.14,20.58
35,20,12,2,10.67,4.27,17.07
36,21,10,2,15.58,6.23,24.93
37,22,8,2,15.84,0.0,31.68
38,22,11,1,12.29,0.0,12.29
39,22,6,3,21.74,0.0,65.22
40,23,12,1,9.43,0.94,8.49
41,24,6,1,21.75,0.0,21.75
42,24,17,1,11.49,0.0,11.49
43,24,11,2,12.56,0.0,25.12
44,24,16,1,12.01,0.0,12.01
45,25,12,1,9.58,0.0,9.58
46,26,3,2,13.74,1.37,26.11
47,27,4,1,26.03,3.9,22.13
48,27,17,1,12.74,1.91,10.83
49,27,12,1,10.02,1.5,8.52
50,27,3,2,13.93,4.18,23.68
51,28,20,2,3.81,0.38,7.24
52,28,13,1,14.81,0.74,14.07
53,28,6,1,21.42,1.07,20.35
54,28,5,1,12.4,0.62,11.78
55,29,1,1,13.09,0.65,12.44
56,30,3,2,13.95,5.58,22.32
57,31,18,1,12.78,0.0,12.78
58,32,15,1,17.19,0.86,16.33
59,33,11,2,12.83,2.57,23.09
60,33,1,1,12.58,1.26,11.32
61,33,13,3,13.9,4.17,37.53
62,34,15,1,16.21,3.24,12.97
63,35,13,1,14.42,0.0,14.42
64,35,7,1,19.52,0.0,19.52
65,35,14,1,7.33,0.0,7.33
66,36,17,1,11.67,1.17,10.5
67,36,10,1,16.29,1.63,14.66
68,36,7,1,19.38,1.94,17.44
69,37,14,4,8.03,4.82,27.3
70,38,16,5,11.44,0.0,57.2
71,39,2,1,10.57,0.0,10.57
72,40,13,1,14.94,0.0,14.94
73,41,2,2,10.23,0.0,20.46
74,41,16,2,11.5,0.0,23.0
75,42,19,1,10.42,2.08,8.34
76,42,20,2,3.88,1.55,6.21
77,42,11,4,11.79,9.43,37.73
78,43,7,1,19.46,0.0,19.46
79,43,6,1,21.01,0.0,21.01
80,44,11,3,12.22,7.33,29.33
81,45,19,1,9.72,0.0,9.72
82,46,19,2,9.73,0.0,19.46
83,46,2,1,10.72,0.0,10.72
84,47,5,2,11.24,1.12,21.36
85,47,12,3,10.63,1.59,30.3
86,48,7,1,17.96,3.59,14.37
87,49,6,1,20.0,1.0,19.0
88,50,15,2,18.22,3.64,32.8
89,50,5,2,11.03,2.21,19.85
90,51,3,2,13.57,0.0,27.14
91,51,16,1,12.73,0.0,12.73
92,52,8,1,18.41,0.0,18.41
93,52,11,1,11.92,0.0,11.92
94,53,12,2,10.55,3.16,17.94
95,53,6,1,21.01,3.15,17.86
96,54,13,1,16.1,3.22,12.88
97,55,4,1,25.22,0.0,25.22
98,55,14,2,7.51,0.0,15.02
99,55,15,1,17.51,0.0,17.51
100,55,3,2,13.23,0.0,26.46
101,56,13,1,15.4,0.77,14.63
102,56,16,2,11.95,1.2,22.7
103,56,9,1,28.12,1.41,26.71
104,57,11,1,12.56,0.0,12.56
105,57,2,3,10.53,0.0,31.59
106,57,15,1,19.11,0.0,19.11
107,58,16,1,11.88,0.0,11.88
108,58,7,2,20.65,0.0,41.3
109,58,1,1,11.79,0.0,11.79
110,58,2,1,9.92,0.0,9.92
111,59,12,5,9.98,9.98,39.92
112,60,6,3,22.72,0.0,68.16
113,60,16,2,11.21,0.0,22.42
114,61,11,2,12.0,1.2,22.8
115,62,17,3,11.9,3.57,32.13
116,62,19,1,10.13,1.01,9.12
117,63,6,1,22.98,4.6,18.38
118,63,3,1,13.74,2.75,10.99
119,63,8,1,17.73,3.55,14.18
120,64,13,1,15.26,3.05,12.21
121,65,9,1,26.41,5.28,21.13
122,66,2,1,10.64,0.0,10.64
123,66,13,2,14.18,0.0,28.36
