OrderID,CustomerID,StoreID,OrderDate,OrderDateTime,OrderStatus,SalesChannel,PaymentMethod,ShippingDate,PromoCode,Notes,SubTotal,Tax,ShippingCost,ItemsCount,OrderLevelDiscount,OrderTotal
1,758,3,2024-12-08,2024-12-08 12:20:00,Completed,In-Store,Cash,2024-12-08,SUMMER15,,72.25,5.06,0.0,4,1.44,75.87
2,333,9,2025-02-26,2025-02-26 15:40:00,Completed,In-Store,E-Wallet,2025-02-26,VIP20,,47.29,3.31,0.0,3,0.95,49.65
3,320,1,2024-06-18,2024-06-18 20:25:00,Pending,Online,Bank Transfer,,,Gift wrap,20.77,1.45,2.89,1,0.0,25.11
4,1175,3,2024-01-20,2024-01-20 16:20:00,Returned,In-Store,E-Wallet,,SUMMER15,,15.07,1.05,0.0,2,0.0,16.12
5,286,9,2024-10-16,2024-10-16 18:00:00,Completed,Online,Bank Transfer,2024-10-19,VIP20,Gift wrap,25.84,1.81,4.16,2,0.0,31.81
6,400,10,2024-10-09,2024-10-09 11:00:00,Completed,In-Store,Cash,2024-10-09,NEW10,,33.46,2.34,0.0,2,0.0,35.8
7,179,9,2025-01-19,2025-01-19 11:35:00,Completed,Online,Bank Transfer,2025-01-19,,Gift wrap,16.4,1.15,3.79,1,0.0,21.34
8,876,6,2024-06-10,2024-06-10 15:55:00,Completed,Online,Cash,2024-06-15,SUMMER15,Fragile,116.33,8.14,4.32,4,2.33,126.46
9,442,8,2024-12-22,2024-12-22 19:05:00,Cancelled,Online,E-Wallet,,NEW10,Fragile,48.74,3.41,2.89,2,0.0,55.04
10,286,10,2024-03-17,2024-03-17 18:30:00,Completed,Online,Cash,2024-03-24,,,11.34,0.79,2.94,1,0.0,15.07
11,770,2,2024-05-31,2024-05-31 20:05:00,Completed,In-Store,Cash,2024-05-31,VIP20,,7.97,0.56,0.0,1,0.0,8.53
12,1164,3,2025-02-26,2025-02-26 17:55:00,Completed,In-Store,Cash,2025-02-26,BUNDLE5,Fragile,11.72,0.82,0.0,1,0.0,12.54
13,1199,5,2025-02-11,2025-02-11 10:20:00,Completed,In-Store,Debit Card,2025-02-11,,,13.2,0.92,0.0,1,0.0,14.12
14,968,2,2025-01-06,2025-01-06 12:20:00,Completed,In-Store,E-Wallet,2025-01-06,NEW10,Fragile,22.68,1.59,0.0,1,0.0,24.27
15,502,1,2025-08-03,2025-08-03 20:50:00,Completed,Online,Credit Card,2025-08-08,BUNDLE5,Fragile,9.33,0.65,3.52,1,0.0,13.5
16,975,2,2024-08-10,2024-08-10 17:20:00,Completed,In-Store,Credit Card,2024-08-10,,Gift wrap,105.81,7.41,0.0,2,0.0,113.22
17,300,6,2024-02-06,2024-02-06 12:00:00,Completed,In-Store,Cash,2024-02-06,NEW10,,11.81,0.83,0.0,1,0.0,12.64
18,730,1,2024-05-08,2024-05-08 14:30:00,Completed,Online,Credit Card,2024-05-11,,,119.04,8.33,3.24,2,0.0,130.61
19,343,9,2025-07-20,2025-07-20 18:45:00,Completed,Online,Cash,2025-07-24,,Gift wrap,11.99,0.84,3.96,1,0.0,16.79
20,721,3,2024-04-18,2024-04-18 11:45:00,Completed,Online,Cash,2024-04-25,VIP20,Gift wrap,37.65,2.64,4.32,2,0.0,44.61
21,210,4,2024-06-17,2024-06-17 20:10:00,Completed,Online,Debit Card,2024-06-18,VIP20,Fragile,24.93,1.75,2.34,1,0.0,29.02
22,269,1,2025-06-17,2025-06-17 20:05:00,Completed,Online,Cash,2025-06-19,,Fragile,109.19,7.64,3.87,3,0.0,120.7
23,1072,6,2025-05-23,2025-05-23 19:45:00,Completed,Online,Credit Card,2025-05-26,NEW10,,8.49,0.59,5.07,1,0.0,14.15
24,257,4,2025-07-11,2025-07-11 18:20:00,Completed,Online,Credit Card,2025-07-12,,Fragile,70.37,4.93,3.8,4,0.0,79.1
25,403,2,2025-08-14,2025-08-14 18:00:00,Completed,In-Store,Bank Transfer,2025-08-14,,Fragile,9.58,0.67,0.0,1,0.0,10.25
26,89,2,2024-08-12,2024-08-12 12:20:00,Completed,Online,Credit Card,2024-08-13,BUNDLE5,,26.11,1.83,3.86,1,0.0,31.8
27,379,6,2025-06-02,2025-06-02 17:15:00,Completed,Online,Cash,2025-06-07,SUMMER15,,65.16,4.56,0.94,4,1.3,69.36
